"01/01","L’avenir appartient à ceux qui se lèvent tôt."
"02/01","Mieux vaut tard que jamais."
"03/01","Il ne faut pas mettre tous ses œufs dans le même panier."
"04/01","Qui ne tente rien n’a rien."
"05/01","Un tiens vaut mieux que deux tu l’auras."
"06/01","À chaque jour suffit sa peine."
"07/01","La nuit porte conseil."
"08/01","Il n’y a pas de fumée sans feu."
"09/01","Les absents ont toujours tort."
"10/01","Tel est pris qui croyait prendre."
"11/01","Petit à petit, l’oiseau fait son nid."
"12/01","Pierre qui roule n’amasse pas mousse."
"13/01","Chose promise, chose due."
"14/01","Tant va la cruche à l’eau qu’à la fin elle se casse."
"15/01","On ne fait pas d’omelette sans casser des œufs."
"16/01","Charbonnier est maître chez lui."
"17/01","Ce que femme veut, Dieu le veut."
"18/01","L’habit ne fait pas le moine."
"19/01","Il faut battre le fer pendant qu’il est chaud."
"20/01","Chat échaudé craint l’eau froide."
"21/01","Qui vivra verra."
"22/01","Faute avouée est à moitié pardonnée."
"23/01","Il n’y a que les imbéciles qui ne changent pas d’avis."
"24/01","Il n’est pire aveugle que celui qui ne veut pas voir."
"25/01","Les bons comptes font les bons amis."
"26/01","L’avenir appartient à ceux qui se lèvent tôt."
"27/01","Mieux vaut tard que jamais."
"28/01","Il ne faut pas mettre tous ses œufs dans le même panier."
"29/01","Qui ne tente rien n’a rien."
"30/01","Un tiens vaut mieux que deux tu l’auras."
"31/01","À chaque jour suffit sa peine."
"01/02","La nuit porte conseil."
"02/02","Il n’y a pas de fumée sans feu."
"03/02","Les absents ont toujours tort."
"04/02","Tel est pris qui croyait prendre."
"05/02","Petit à petit, l’oiseau fait son nid."
"06/02","Pierre qui roule n’amasse pas mousse."
"07/02","Chose promise, chose due."
"08/02","Tant va la cruche à l’eau qu’à la fin elle se casse."
"09/02","On ne fait pas d’omelette sans casser des œufs."
"10/02","Charbonnier est maître chez lui."
"11/02","Ce que femme veut, Dieu le veut."
"12/02","L’habit ne fait pas le moine."
"13/02","Il faut battre le fer pendant qu’il est chaud."
"14/02","Chat échaudé craint l’eau froide."
"15/02","Qui vivra verra."
"16/02","Faute avouée est à moitié pardonnée."
"17/02","Il n’y a que les imbéciles qui ne changent pas d’avis."
"18/02","Il n’est pire aveugle que celui qui ne veut pas voir."
"19/02","Les bons comptes font les bons amis."
"20/02","L’avenir appartient à ceux qui se lèvent tôt."
"21/02","Mieux vaut tard que jamais."
"22/02","Il ne faut pas mettre tous ses œufs dans le même panier."
"23/02","Qui ne tente rien n’a rien."
"24/02","Un tiens vaut mieux que deux tu l’auras."
"25/02","À chaque jour suffit sa peine."
"26/02","La nuit porte conseil."
"27/02","Il n’y a pas de fumée sans feu."
"28/02","Les absents ont toujours tort."
"29/02","Il n’y a que les imbéciles qui ne changent pas d’avis.
"01/03","Tel est pris qui croyait prendre."
"02/03","Petit à petit, l’oiseau fait son nid."
"03/03","Pierre qui roule n’amasse pas mousse."
"04/03","Chose promise, chose due."
"05/03","Tant va la cruche à l’eau qu’à la fin elle se casse."
"06/03","On ne fait pas d’omelette sans casser des œufs."
"07/03","Charbonnier est maître chez lui."
"08/03","Ce que femme veut, Dieu le veut."
"09/03","L’habit ne fait pas le moine."
"10/03","Il faut battre le fer pendant qu’il est chaud."
"11/03","Chat échaudé craint l’eau froide."
"12/03","Qui vivra verra."
"13/03","Faute avouée est à moitié pardonnée."
"14/03","Il n’y a que les imbéciles qui ne changent pas d’avis."
"15/03","Il n’est pire aveugle que celui qui ne veut pas voir."
"16/03","Les bons comptes font les bons amis."
"17/03","L’avenir appartient à ceux qui se lèvent tôt."
"18/03","Mieux vaut tard que jamais."
"19/03","Il ne faut pas mettre tous ses œufs dans le même panier."
"20/03","Qui ne tente rien n’a rien."
"21/03","Un tiens vaut mieux que deux tu l’auras."
"22/03","À chaque jour suffit sa peine."
"23/03","La nuit porte conseil."
"24/03","Il n’y a pas de fumée sans feu."
"25/03","Les absents ont toujours tort."
"26/03","Tel est pris qui croyait prendre."
"27/03","Petit à petit, l’oiseau fait son nid."
"28/03","Pierre qui roule n’amasse pas mousse."
"29/03","Chose promise, chose due."
"30/03","Tant va la cruche à l’eau qu’à la fin elle se casse."
"31/03","On ne fait pas d’omelette sans casser des œufs."
"01/04","Charbonnier est maître chez lui."
"02/04","Ce que femme veut, Dieu le veut."
"03/04","L’habit ne fait pas le moine."
"04/04","Il faut battre le fer pendant qu’il est chaud."
"05/04","Chat échaudé craint l’eau froide."
"06/04","Qui vivra verra."
"07/04","Faute avouée est à moitié pardonnée."
"08/04","Il n’y a que les imbéciles qui ne changent pas d’avis."
"09/04","Il n’est pire aveugle que celui qui ne veut pas voir."
"10/04","Les bons comptes font les bons amis."
"11/04","L’avenir appartient à ceux qui se lèvent tôt."
"12/04","Mieux vaut tard que jamais."
"13/04","Il ne faut pas mettre tous ses œufs dans le même panier."
"14/04","Qui ne tente rien n’a rien."
"15/04","Un tiens vaut mieux que deux tu l’auras."
"16/04","À chaque jour suffit sa peine."
"17/04","La nuit porte conseil."
"18/04","Il n’y a pas de fumée sans feu."
"19/04","Les absents ont toujours tort."
"20/04","Tel est pris qui croyait prendre."
"21/04","Petit à petit, l’oiseau fait son nid."
"22/04","Pierre qui roule n’amasse pas mousse."
"23/04","Chose promise, chose due."
"24/04","Tant va la cruche à l’eau qu’à la fin elle se casse."
"25/04","On ne fait pas d’omelette sans casser des œufs."
"26/04","Charbonnier est maître chez lui."
"27/04","Ce que femme veut, Dieu le veut."
"28/04","L’habit ne fait pas le moine."
"29/04","Il faut battre le fer pendant qu’il est chaud."
"30/04","Chat échaudé craint l’eau froide."
"01/05","Qui vivra verra."
"02/05","Faute avouée est à moitié pardonnée."
"03/05","Il n’y a que les imbéciles qui ne changent pas d’avis."
"04/05","Il n’est pire aveugle que celui qui ne veut pas voir."
"05/05","Les bons comptes font les bons amis."
"06/05","L’avenir appartient à ceux qui se lèvent tôt."
"07/05","Mieux vaut tard que jamais."
"08/05","Il ne faut pas mettre tous ses œufs dans le même panier."
"09/05","Qui ne tente rien n’a rien."
"10/05","Un tiens vaut mieux que deux tu l’auras."
"11/05","À chaque jour suffit sa peine."
"12/05","La nuit porte conseil."
"13/05","Il n’y a pas de fumée sans feu."
"14/05","Les absents ont toujours tort."
"15/05","Tel est pris qui croyait prendre."
"16/05","Petit à petit, l’oiseau fait son nid."
"17/05","Pierre qui roule n’amasse pas mousse."
"18/05","Chose promise, chose due."
"19/05","Tant va la cruche à l’eau qu’à la fin elle se casse."
"20/05","On ne fait pas d’omelette sans casser des œufs."
"21/05","Charbonnier est maître chez lui."
"22/05","Ce que femme veut, Dieu le veut."
"23/05","L’habit ne fait pas le moine."
"24/05","Il faut battre le fer pendant qu’il est chaud."
"25/05","Chat échaudé craint l’eau froide."
"26/05","Qui vivra verra."
"27/05","Faute avouée est à moitié pardonnée."
"28/05","Il n’y a que les imbéciles qui ne changent pas d’avis."
"29/05","Il n’est pire aveugle que celui qui ne veut pas voir."
"30/05","Les bons comptes font les bons amis."
"31/05","L’avenir appartient à ceux qui se lèvent tôt."
"01/06","Mieux vaut tard que jamais."
"02/06","Il ne faut pas mettre tous ses œufs dans le même panier."
"03/06","Qui ne tente rien n’a rien."
"04/06","Un tiens vaut mieux que deux tu l’auras."
"05/06","À chaque jour suffit sa peine."
"06/06","La nuit porte conseil."
"07/06","Il n’y a pas de fumée sans feu."
"08/06","Les absents ont toujours tort."
"09/06","Tel est pris qui croyait prendre."
"10/06","Petit à petit, l’oiseau fait son nid."
"11/06","Pierre qui roule n’amasse pas mousse."
"12/06","Chose promise, chose due."
"13/06","Tant va la cruche à l’eau qu’à la fin elle se casse."
"14/06","On ne fait pas d’omelette sans casser des œufs."
"15/06","Charbonnier est maître chez lui."
"16/06","Ce que femme veut, Dieu le veut."
"17/06","L’habit ne fait pas le moine."
"18/06","Il faut battre le fer pendant qu’il est chaud."
"19/06","Chat échaudé craint l’eau froide."
"20/06","Qui vivra verra."
"21/06","Faute avouée est à moitié pardonnée."
"22/06","Il n’y a que les imbéciles qui ne changent pas d’avis."
"23/06","Il n’est pire aveugle que celui qui ne veut pas voir."
"24/06","Les bons comptes font les bons amis."
"25/06","L’avenir appartient à ceux qui se lèvent tôt."
"26/06","Mieux vaut tard que jamais."
"27/06","Il ne faut pas mettre tous ses œufs dans le même panier."
"28/06","Qui ne tente rien n’a rien."
"29/06","Un tiens vaut mieux que deux tu l’auras."
"30/06","À chaque jour suffit sa peine."
"01/07","La nuit porte conseil."
"02/07","Il n’y a pas de fumée sans feu."
"03/07","Les absents ont toujours tort."
"04/07","Tel est pris qui croyait prendre."
"05/07","Petit à petit, l’oiseau fait son nid."
"06/07","Pierre qui roule n’amasse pas mousse."
"07/07","Chose promise, chose due."
"08/07","Tant va la cruche à l’eau qu’à la fin elle se casse."
"09/07","On ne fait pas d’omelette sans casser des œufs."
"10/07","Charbonnier est maître chez lui."
"11/07","Ce que femme veut, Dieu le veut."
"12/07","L’habit ne fait pas le moine."
"13/07","Il faut battre le fer pendant qu’il est chaud."
"14/07","Chat échaudé craint l’eau froide."
"15/07","Qui vivra verra."
"16/07","Faute avouée est à moitié pardonnée."
"17/07","Il n’y a que les imbéciles qui ne changent pas d’avis."
"18/07","Il n’est pire aveugle que celui qui ne veut pas voir."
"19/07","Les bons comptes font les bons amis."
"20/07","L’avenir appartient à ceux qui se lèvent tôt."
"21/07","Mieux vaut tard que jamais."
"22/07","Il ne faut pas mettre tous ses œufs dans le même panier."
"23/07","Qui ne tente rien n’a rien."
"24/07","Un tiens vaut mieux que deux tu l’auras."
"25/07","À chaque jour suffit sa peine."
"26/07","La nuit porte conseil."
"27/07","Il n’y a pas de fumée sans feu."
"28/07","Les absents ont toujours tort."
"29/07","Tel est pris qui croyait prendre."
"30/07","Petit à petit, l’oiseau fait son nid."
"31/07","Pierre qui roule n’amasse pas mousse."
"01/08","Chose promise, chose due."
"02/08","Tant va la cruche à l’eau qu’à la fin elle se casse."
"03/08","On ne fait pas d’omelette sans casser des œufs."
"04/08","Charbonnier est maître chez lui."
"05/08","Ce que femme veut, Dieu le veut."
"06/08","L’habit ne fait pas le moine."
"07/08","Il faut battre le fer pendant qu’il est chaud."
"08/08","Chat échaudé craint l’eau froide."
"09/08","Qui vivra verra."
"10/08","Faute avouée est à moitié pardonnée."
"11/08","Il n’y a que les imbéciles qui ne changent pas d’avis."
"12/08","Il n’est pire aveugle que celui qui ne veut pas voir."
"13/08","Les bons comptes font les bons amis."
"14/08","L’avenir appartient à ceux qui se lèvent tôt."
"15/08","Mieux vaut tard que jamais."
"16/08","Il ne faut pas mettre tous ses œufs dans le même panier."
"17/08","Qui ne tente rien n’a rien."
"18/08","Un tiens vaut mieux que deux tu l’auras."
"19/08","À chaque jour suffit sa peine."
"20/08","La nuit porte conseil."
"21/08","Il n’y a pas de fumée sans feu."
"22/08","Les absents ont toujours tort."
"23/08","Tel est pris qui croyait prendre."
"24/08","Petit à petit, l’oiseau fait son nid."
"25/08","Pierre qui roule n’amasse pas mousse."
"26/08","Chose promise, chose due."
"27/08","Tant va la cruche à l’eau qu’à la fin elle se casse."
"28/08","On ne fait pas d’omelette sans casser des œufs."
"29/08","Charbonnier est maître chez lui."
"30/08","Ce que femme veut, Dieu le veut."
"31/08","L’habit ne fait pas le moine."
"01/09","Il faut battre le fer pendant qu’il est chaud."
"02/09","Chat échaudé craint l’eau froide."
"03/09","Qui vivra verra."
"04/09","Faute avouée est à moitié pardonnée."
"05/09","Il n’y a que les imbéciles qui ne changent pas d’avis."
"06/09","Il n’est pire aveugle que celui qui ne veut pas voir."
"07/09","Les bons comptes font les bons amis."
"08/09","L’avenir appartient à ceux qui se lèvent tôt."
"09/09","Mieux vaut tard que jamais."
"10/09","Il ne faut pas mettre tous ses œufs dans le même panier."
"11/09","Qui ne tente rien n’a rien."
"12/09","Un tiens vaut mieux que deux tu l’auras."
"13/09","À chaque jour suffit sa peine."
"14/09","La nuit porte conseil."
"15/09","Il n’y a pas de fumée sans feu."
"16/09","Les absents ont toujours tort."
"17/09","Tel est pris qui croyait prendre."
"18/09","Petit à petit, l’oiseau fait son nid."
"19/09","Pierre qui roule n’amasse pas mousse."
"20/09","Chose promise, chose due."
"21/09","Tant va la cruche à l’eau qu’à la fin elle se casse."
"22/09","On ne fait pas d’omelette sans casser des œufs."
"23/09","Charbonnier est maître chez lui."
"24/09","Ce que femme veut, Dieu le veut."
"25/09","L’habit ne fait pas le moine."
"26/09","Il faut battre le fer pendant qu’il est chaud."
"27/09","Chat échaudé craint l’eau froide."
"28/09","Qui vivra verra."
"29/09","Faute avouée est à moitié pardonnée."
"30/09","Il n’y a que les imbéciles qui ne changent pas d’avis."
"01/10","Il n’est pire aveugle que celui qui ne veut pas voir."
"02/10","Les bons comptes font les bons amis."
"03/10","L’avenir appartient à ceux qui se lèvent tôt."
"04/10","Mieux vaut tard que jamais."
"05/10","Il ne faut pas mettre tous ses œufs dans le même panier."
"06/10","Qui ne tente rien n’a rien."
"07/10","Un tiens vaut mieux que deux tu l’auras."
"08/10","À chaque jour suffit sa peine."
"09/10","La nuit porte conseil."
"10/10","Il n’y a pas de fumée sans feu."
"11/10","Les absents ont toujours tort."
"12/10","Tel est pris qui croyait prendre."
"13/10","Petit à petit, l’oiseau fait son nid."
"14/10","Pierre qui roule n’amasse pas mousse."
"15/10","Chose promise, chose due."
"16/10","Tant va la cruche à l’eau qu’à la fin elle se casse."
"17/10","On ne fait pas d’omelette sans casser des œufs."
"18/10","Charbonnier est maître chez lui."
"19/10","Ce que femme veut, Dieu le veut."
"20/10","L’habit ne fait pas le moine."
"21/10","Il faut battre le fer pendant qu’il est chaud."
"22/10","Chat échaudé craint l’eau froide."
"23/10","Qui vivra verra."
"24/10","Faute avouée est à moitié pardonnée."
"25/10","Il n’y a que les imbéciles qui ne changent pas d’avis."
"26/10","Il n’est pire aveugle que celui qui ne veut pas voir."
"27/10","Les bons comptes font les bons amis."
"28/10","L’avenir appartient à ceux qui se lèvent tôt."
"29/10","Mieux vaut tard que jamais."
"30/10","Il ne faut pas mettre tous ses œufs dans le même panier."
"31/10","Qui ne tente rien n’a rien."
"01/11","Un tiens vaut mieux que deux tu l’auras."
"02/11","À chaque jour suffit sa peine."
"03/11","La nuit porte conseil."
"04/11","Il n’y a pas de fumée sans feu."
"05/11","Les absents ont toujours tort."
"06/11","Tel est pris qui croyait prendre."
"07/11","Petit à petit, l’oiseau fait son nid."
"08/11","Pierre qui roule n’amasse pas mousse."
"09/11","Chose promise, chose due."
"10/11","Tant va la cruche à l’eau qu’à la fin elle se casse."
"11/11","On ne fait pas d’omelette sans casser des œufs."
"12/11","Charbonnier est maître chez lui."
"13/11","Ce que femme veut, Dieu le veut."
"14/11","L’habit ne fait pas le moine."
"15/11","Il faut battre le fer pendant qu’il est chaud."
"16/11","Chat échaudé craint l’eau froide."
"17/11","Qui vivra verra."
"18/11","Faute avouée est à moitié pardonnée."
"19/11","Il n’y a que les imbéciles qui ne changent pas d’avis."
"20/11","Il n’est pire aveugle que celui qui ne veut pas voir."
"21/11","Les bons comptes font les bons amis."
"22/11","L’avenir appartient à ceux qui se lèvent tôt."
"23/11","Mieux vaut tard que jamais."
"24/11","Il ne faut pas mettre tous ses œufs dans le même panier."
"25/11","Qui ne tente rien n’a rien."
"26/11","Un tiens vaut mieux que deux tu l’auras."
"27/11","À chaque jour suffit sa peine."
"28/11","La nuit porte conseil."
"29/11","Il n’y a pas de fumée sans feu."
"30/11","Les absents ont toujours tort."
"01/12","Tel est pris qui croyait prendre."
"02/12","Petit à petit, l’oiseau fait son nid."
"03/12","Pierre qui roule n’amasse pas mousse."
"04/12","Chose promise, chose due."
"05/12","Tant va la cruche à l’eau qu’à la fin elle se casse."
"06/12","On ne fait pas d’omelette sans casser des œufs."
"07/12","Charbonnier est maître chez lui."
"08/12","Ce que femme veut, Dieu le veut."
"09/12","L’habit ne fait pas le moine."
"10/12","Il faut battre le fer pendant qu’il est chaud."
"11/12","Chat échaudé craint l’eau froide."
"12/12","Qui vivra verra."
"13/12","Faute avouée est à moitié pardonnée."
"14/12","Il n’y a que les imbéciles qui ne changent pas d’avis."
"15/12","Il n’est pire aveugle que celui qui ne veut pas voir."
"16/12","Les bons comptes font les bons amis."
"17/12","L’avenir appartient à ceux qui se lèvent tôt."
"18/12","Mieux vaut tard que jamais."
"19/12","Il ne faut pas mettre tous ses œufs dans le même panier."
"20/12","Qui ne tente rien n’a rien."
"21/12","Un tiens vaut mieux que deux tu l’auras."
"22/12","À chaque jour suffit sa peine."
"23/12","La nuit porte conseil."
"24/12","Il n’y a pas de fumée sans feu."
"25/12","Les absents ont toujours tort."
"26/12","Tel est pris qui croyait prendre."
"27/12","Petit à petit, l’oiseau fait son nid."
"28/12","Pierre qui roule n’amasse pas mousse."
"29/12","Chose promise, chose due."
"30/12","Tant va la cruche à l’eau qu’à la fin elle se casse."
"31/12","On ne fait pas d’omelette sans casser des œufs."
